"","Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude.","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website","Creation_Date"
"1370","Sturt Softball Club","1A CLAREMONT AVENUE","NETHERBY","SA",5062,"",-34.97062,138.62759,"Softball","",1963-05-01
"1371","Kingston Pony Club","11 SOUTH TERRACE","KINGSTON SE","SA",5275,"sro09153@bigpond.net.au",-36.83884,139.84961,"Equestrian","",1951-05-26
"1372","Lyndoch and Districts Little Athletics Centre","2 BAROSSA VALLEY WAY","LYNDOCH","SA",5351,"committee@ladlac.com",-34.59881,138.8859,"Athletics","www.ladlac.com.au",1961-02-06
"1373","Rangers Basketball Club","2 JUBILEE DRIVE","PORT LINCOLN","SA",5606,"rangersclub@hotmail.com.au",-34.74361,135.8733,"Basketball","",1966-12-22
"1374","Hallett Cove Beach Tennis Club","LOT 518 SHAMROCK ROAD","HALLETT COVE","SA",5158,"hallettcovebeachtc@gmail.com",-35.08122,138.50301,"Tennis","www.tennis.com.au/hallettcovebeachtc",1989-07-03
"1375","Moonta International Rules Basketball Club","46 MILNE TERRACE","MOONTA","SA",5558,"adele.kelehet@y7mail.com",-34.0643,137.58206,"Basketball","",2001-11-07
"1376","Port Lincoln Little Athletics Centre","40 STAMFORD TERRACE","PORT LINCOLN","SA",5606,"portlincolnlittleathletics@gmail.com",-34.74201,135.85777,"Athletics","",1957-04-08
"1377","Freeling Basketball Club","Freeling Recreation Park","FREELING","SA",5372,"freelingfliers@hotmail.com",-34.45544,138.81363,"Basketball","",1971-04-07
"1378","Torrens Valley Redsox Softball Club","LOT 40 PRINCES HIGHWAY","LITTLEHAMPTON","SA",5250,"jliddell@voice.net.au",-35.05633,138.85378,"Softball","",2002-05-05
"1379","Naracoorte Baseball Club","8 PRICE AVENUE","NARACOORTE","SA",5271,"foxhole4@bigpond.com",-36.96154,140.74987,"Baseball","https://sitedesq.imgstg.com/index.cfm?fuseaction=Display_Page&PageID=2052&OrgID=19691",1972-10-13
"1380","Port Augusta Basketball Association","LOT 501 FLINDERS TERRACE","PORT AUGUSTA","SA",5700,"",-32.49317,137.77122,"Basketball","",1963-03-04
"1381","Murray Town Tennis Club","4 TINLINE ROAD","MURRAY TOWN","SA",5481,"",-32.93569,138.24098,"Tennis","http://www.tennis.com.au/murraytowntc/",1969-04-01
"1382","Cumberland United Football Club","LOT 105 WINONA AVENUE","CLARENCE GARDENS","SA",5039,"juniorfootball@cumberlandunited.com.au",-34.97278,138.5789,"Football (Soccer)","www.cumberlandunited.com.au",2002-10-02
"1383","Bears Basketball Club","1 DOSWELL TERRACE","KADINA","SA",5554,"secretary@thebearscave.net",-33.95889,137.70649,"Basketball","",1975-01-14
"1384","Adelaide Eagles Little Athletic Centre","LOT 6020 SOUTH TERRACE","ADELAIDE","SA",5000,"info@adelaideeagles.org.au",-34.93648,138.60143,"Athletics","www.adelaideeagles.org.au",1993-02-07
"1385","Salisbury Little Athletics Centre","20 LAVENDER DRIVE","PARAFIELD GARDENS","SA",5107,"slac5108@gmail.com",-34.78216,138.61931,"Athletics","http://salisburylittleaths.webs.com/",1958-07-05
"1386","Pooraka Cricket Club","19 MCCARTHY COURT","POORAKA","SA",5095,"mamulholland@hotmail.com",-34.82868,138.62164,"Cricket","pooraka.sa.cricket.com.au",1994-11-19
"1387","Port Elliot Surf Life Saving Club","LOT 3 THE CUTTING","PORT ELLIOT","SA",5212,"peslsc01@bigpond.com",-35.53481,138.68343,"Surf Lifesaving","www.portelliotslscs.com.au",1958-05-14
"1388","Hallett Cove Little Athletics Centre","8 CASWELL DRIVE","HALLETT COVE","SA",5158,"info@hclac.org.au",-35.07497,138.51051,"Athletics","www.hclac.org.au",1970-11-18
"1389","Panthers Baseball Club","LOT 1076 NORMAN STREET","PORT PIRIE","SA",5540,"panthersbaseballpp@gmail.com",-33.18181,138.00716,"Baseball","",1978-02-09
"1390","Golden Grove Little Athletic Centre","LOT 505 YATALA VALE ROAD","SURREY DOWNS","SA",5126,"info@gglac.org.au",-34.79386,138.71516,"Athletics","www.gglac.org.au",1955-10-01
"1391","Mawson Lakes Cricket Club","1 MAWSON LAKES BOULEVARD","MAWSON LAKES","SA",5095,"Andrew.Plumridge22@gmail.com",-34.81382,138.62482,"Cricket","http://mawsonlakescc.sa.cricket.com.au/",1986-04-13
"1392","Bordertown Little Athletics Club","LOT 924 SOUTH TERRACE","BORDERTOWN","SA",5268,"Bordertownlittleathletics@gmail.com",-36.31291,140.76782,"Athletics","",1982-07-08
"1393","Kongorong Cricket Club","1 Hay Terrace","Kongorong","SA",NA,"",-37.90085,140.56065,"Cricket","",1994-01-28
"1394","Millicent Little Athletics Centre","BRIDGES STREET","MILLICENT","SA",5280,"millicentlittleathletics@gmail.com",-37.60779,140.36288,"Athletics","",1968-05-09
"1395","Seacombe Tigers Softball Club","28 TAYLORS ROAD","ABERFOYLE PARK","SA",5159,"seacombe@softballsa.com.au",-35.0744,138.59529,"Softball","http://seacombe.softball.org.au",1978-01-28
"1396","Bellevue Heights Tennis Club","50 SARGENT PARADE","BELLEVUE HEIGHTS","SA",5050,"jaymebrock@hotmail.com",-35.03204,138.58723,"Tennis","www.bhtc.net",1956-05-25
"1397","Truro Basketball Club","1 BURR STREET","TRURO","SA",5356,"",-34.4112,139.12638,"Basketball","",1965-12-03
"1398","Super Tennis","3 FAIRVIEW ROAD","ALDGATE","SA",5154,"supertennis@adam.com.au",-35.01915,138.74951,"Tennis","",1961-11-24
"1399","Cowell Swimming Club","42 Story Road","Cowell","SA",NA,"cowellswimmingclubinc@outlook.com",-33.68405,136.91867,"Swimming","",1964-04-18
"1400","Henley Surf Life Saving Club","UNIT 1 255 ESPLANADE","HENLEY BEACH","SA",5022,"web@henleyslsc.com.au",-34.92004,138.4937,"Surf Lifesaving","http://www.henleyslsc.com.au",1952-12-14
"1401","Virginia Rams Netball Club","LOT 11 OLD PORT WAKEFIELD ROAD","VIRGINIA","SA",5120,"secretary@virginiafootballclub.com",-34.66459,138.55928,"Australian Rules,Netball","www.virginiafootballclub.com",1995-11-05
"1402","Mallee Park Football Club","LOT 13 SEATON AVENUE","PORT LINCOLN","SA",5606,"scottk@plahs.org.au",-34.73633,135.86205,"Australian Rules","",1978-10-19
"1403","Team Skate FX","Cnr Cowan street and Trafford street","ANGLE PARK","SA",5010,"Rickybryant78@gmail.com ",-34.85837,138.55803,"Roller Sports","",1995-04-21
"1404","Team Skate FX","LOT 4 NIXON TERRACE","GAWLER","SA",5118,"Rickybryant78@gmail.com ",-34.59807,138.73928,"Roller Sports","",1963-12-10
"1405","Team Skate FX","89 FRADD ROAD","ANGLE VALE","SA",5117,"Rickybryant78@gmail.com ",-34.64665,138.65415,"Roller Sports","",1954-08-23
"1406","DG Dance Club","TENANCY 5 210 HENLEY BEACH ROAD","TORRENSVILLE","SA",5031,"dancegallery@bigpond.com",-34.9243,138.55783,"Dancesport","dancegallery.com.au",1973-09-21
"1407","Gawler Swimming Club","LOT 2 VICTORIA TERRACE","GAWLER","SA",5118,"",-34.59273,138.74445,"Swimming","",2005-02-10
"1408","Limestone Coast Little Athletics","46 EAST TERRACE","KINGSTON SE","SA",5275,"jsbraithwaite@yahoo.com.au",-36.83742,139.85566,"Athletics","",1982-08-12
"1409","Royal Port Pirie Yacht Club","61 MAIN ROAD","SOLOMONTOWN","SA",5540,"info@royalportpirieyachtclub.org.au",-33.18239,138.0163,"Sailing","www.royalportpirieyachtclub.org.au",1955-02-10
"1410","Gladstone Swimming Club","LOT 427 WEST TERRACE","GLADSTONE","SA",5473,"",-33.26774,138.3511,"Swimming","",2005-10-09
"1411","Kangarilla Cricket Club","1990 KANGARILLA ROAD","KANGARILLA","SA",5157,"craigstevens67@hotmail.com",-35.14187,138.6597,"Cricket","",1972-03-20
"1412","Scotch College South Australia Cycling Club","10 PAMELA ROAD","TORRENS PARK","SA",5062,"",-34.98279,138.61403,"Cycling","",1994-12-07
"1413","Booleroo Centre Amateur Swimming Club","10 ARTHUR STREET","BOOLEROO CENTRE","SA",5482,"",-32.88211,138.34767,"Swimming","",1999-10-03
"1414","Austral Volleyball Club","50 York Ave","CLOVELLY PARK","SA",5042,"anne-marie@volleyballsa.com.au",-35.0018,138.57397,"Volleyball","http://australvolleyball.org.au/",1977-10-07
"1415","Kazoku Judokan","30 HEWLETT PACKARD STREET","REYNELLA EAST","SA",5161,"judo@kazokujudokan.com.au ",-35.09164,138.55809,"Judo","www.kazokujudokan.com.au ",2001-12-08
"1416","Port Noarlunga Tennis Club","1 BRITAIN DRIVE","PORT NOARLUNGA SOUTH","SA",5167,"portnoarlungatennis@gmail.com",-35.15539,138.4755,"Tennis","tennisportnoarlunga.com.au",1971-06-17
"1417","Para Hills Gymnastic Club Inc","219-247 MONTAGUE ROAD","INGLE FARM","SA",5098,"phgclubinc@outlook.com",-34.82865,138.64829,"Gymnastics","www.parahills.gymnastics.org.au",1989-06-09
"1418","The Barossa  Valley Youth Club","LOT 44 MAGNOLIA ROAD","TANUNDA","SA",5352,"barossavalleyyouthclub@yahoo.com.au",-34.51847,138.97995,"Gymnastics","",1956-04-16
"1419","Angle Vale Soccer Club","LOT 23 FRADD ROAD","ANGLE VALE","SA",5117,"anglevalesc@hotmail.com",-34.64602,138.65347,"Football (Soccer)","www.anglevalesoccer.websyte.com.au",1953-11-25
"1420","Adelaide Victory Football Club","6 COLLINS STREET","PENNINGTON","SA",5013,"adelaidevictoryfc@gmail.com",-34.85836,138.53086,"Football (Soccer)","www.adelaidevictoryfc.com",1996-04-05
"1421","Angas Go-Kart Club","NINE MILE ROAD","STRATHALBYN","SA",5255,"earl@bold.net.au",-35.27428,138.90595,"Motor Sport","www.angasgokartclub.com",1977-08-02
"1422","Seishikan Karate Australia","St. Pauls Church Hall, Penola road Mount Gambier","MOUNT GAMBIER","SA",5290,"power.04@bigpond.com",-37.82665,140.78262,"Karate","www.karateaustralia.com",1969-11-02
"1423","Hummock Hill Hockey Club","Corner of Nicolson Avenue and Searle Street","WHYALLA NORRIE","SA",5608,"hummockhillhockeyclub@gmail.com",-33.02616,137.53814,"Hockey","",1955-09-21
"1424","Clayson Tennis Academy","Kadina to Cunliffe Road"," Cunliffe","SA",NA,"claysoncta@gmail.com",-34.06433,137.76714,"Tennis","",2003-09-24
"1425","Monarto Cricket Club","1 Cooke Street","MURRAY BRIDGE","SA",5253,"sales@bridgealuminium.com.au",-35.12491,139.28049,"Cricket","",1950-04-11
"1426","South Coast Taekwondo and Hapkido","LOT 12 BUTTERWORTH ROAD","ALDINGA BEACH","SA",5173,"john@sctkd.com.au",-35.27341,138.45393,"Taekwondo","www.ozemail.com.au/~sctkd",1993-04-11
"1427","Kangarilla Tennis Club","LOT 943 RECREATION ROAD","KANGARILLA","SA",5157,"ktc1@live.com.au",-35.14272,138.65905,"Tennis","",1997-07-11
"1428","Southern Star Western Performance Club","97 RAZOR BACK ROAD","MEADOWS","SA",5201,"sswpc@live.com.au",-35.14537,138.7537,"Equestrian","www.sswpc.com.au",1961-04-14
"1429","Trinity Baptist Basketball Club","8A BEDFORD SQUARE","COLONEL LIGHT GARDENS","SA",5041,"jcrinion@gmail.com",-34.98179,138.59769,"Basketball","http://www.trinityclg.org.au/",2001-07-18
"1430","Amazons Netball Club","5 MARGARET STREET","MOUNT GAMBIER","SA",5290,"jcook017@gmail.com",-37.83312,140.77451,"Netball","",2005-04-18
"1431","Mount Gambier Swimming Club","1 KEEGAN STREET","MOUNT GAMBIER","SA",5290,"toneya1@iinet.net.au",-37.8326,140.7765,"Swimming","",2000-11-26
"1432","All Boys' and All Girls' Gymnastic Club","131-133 LONG STREET","QUEENSTOWN","SA",5014,"queenstowngymnasticsclub@gmail.com",-34.85821,138.51073,"Gymnastics","",1996-05-20
"1433","Port Pirie Pistol and Shooting Club ","1176 SPENCER HIGHWAY","PIRIE EAST","SA",5540,"zoobys@bigpond.com",-33.24386,138.01758,"Shooting","",1969-06-24
"1434","Shamrocks Netball Club","2 AUGUSTA TERRACE","PORT AUGUSTA","SA",5700,"shamrocksnetball@gmail.com ",-32.49108,137.77165,"Netball","",1963-06-26
"1435","Railways Netball Club","LOT 501 FLINDERS TERRACE","PORT AUGUSTA","SA",5700,"",-32.49111,137.77165,"Netball","",2004-04-05
"1436","Australian Sidecarcross Association","24 PARK ROAD","ANGASTON","SA",5353,"secretary@ozsidecarx.com.au",-34.50689,139.04389,"Motorcycling","www.ozsidecarx.com.au",1963-06-03
"1437","Tumby Bay Football Club","LOT 336 WEST TERRACE","TUMBY BAY","SA",5605,"tumbybayfc@hotmail.com",-34.37784,136.09962,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?clubID=111819&c=1-7455-0-0-0",1982-11-21
"1438","Tatiara Soccer Association","LOT 103 VENN AVENUE","BORDERTOWN","SA",5268,"krystal2214@live.com.au",-36.31589,140.76975,"Football (Soccer)","http://tatiarasoccer.com.au/",1956-05-15
"1439","Platinum Fighting Sports","UNIT 1 21-23 DUNDEE AVENUE","HOLDEN HILL","SA",5088,"www.barksey@bigpond.com",-34.85627,138.66131,"Judo","www.platinumjudoclub.wix.com",1971-02-01
"1440","Gawler Calisthenic Club","LOT 2 VICTORIA TERRACE","GAWLER","SA",5118,"gawlercali@gmail.com",-34.59308,138.74458,"Calisthenics","www.gawlercalisthenicsclub.com",1966-12-03
"1441","Vitor Renmark Swimming Club","117 COWRA STREET","RENMARK","SA",5341,"treasurervrasc@gmail.com",-34.16842,140.74525,"Swimming","",1986-04-19
"1442","Murray Bridge Little Athletics Centre","LOT 816 LOHMANN STREET","MURRAY BRIDGE","SA",5253,"murraybridgela@gmail.com",-35.13453,139.2846,"Athletics","",1970-09-25
"1443","Mannum Little Athletics Centre","LOT 905 MALE ROAD","MANNUM","SA",5238,"mannumlittleaths@gmail.com",-34.91302,139.30287,"Athletics","",1984-07-04
"1444","Mil Lel Tennis Club","611 KENNEDY AVENUE","MIL-LEL","SA",5291,"craig.pearson7@bigpond.com",-37.78234,140.82544,"Tennis","",1995-01-12
"1445","Laura Tennis Club","7 EAST TERRACE","LAURA","SA",5480,"",-33.18455,138.30457,"Tennis","",1965-08-04
"1446","Morgan Dirt-Kart Club","94 GO KART ROAD","MORGAN","SA",5320,"ffranneandchris@bigpond.com",-34.01169,139.67889,"Motor Sport","www.morgankartclub.com",1987-07-16
"1447","Renmark Tintra Lawn Tennis Club","LOT 81 MARRARA STREET","RENMARK","SA",5341,"rtltc@live.com.au",-34.16821,140.74109,"Tennis","",1988-06-10
"1448","Hahndorf Soccer Club","179 FAIRVIEW ROAD","HAHNDORF","SA",5245,"anitamhkerr@yahoo.com.au",-35.03834,138.80331,"Football (Soccer)","http://www.hahndorfsc.com",1990-07-23
"1449","Loxton Little Athletics","1889 BOOKPURNONG ROAD","LOXTON","SA",5333,"loxtonlittleathletics@gmail.com",-34.44427,140.58498,"Athletics","",1978-11-25
"1450","Mt Lofty Volleyball Club","102 LONGWOOD ROAD","HEATHFIELD","SA",5153,"farmilo_v@kawasaki.com.au",-35.0203,138.71089,"Volleyball","http://mtloftyvolleyball.com.au",1976-04-25
"1451","Port Adelaide District Hockey Club","LOT 313 HART STREET","ETHELTON","SA",5015,"vpjuniors@padhc.com.au",-34.84656,138.48694,"Hockey","http://www.padhc.com.au",1965-02-10
"1452","West Lakes Tennis Club","21 Edwin Street","West Lakes Shore South Australia","SA",NA,"westlakestennis@gmail.com",-34.86391,138.48435,"Tennis","http://wltc.com.au",1957-06-09
"1453","Hamley Bridge Football Club","1 STOCKPORT ROAD","HAMLEY BRIDGE","SA",5401,"jennyleeflage@bigpond.com",-34.35428,138.68016,"Australian Rules","",1980-09-18
"1454","Port Elliot Cricket Club","LOT 1 PORT ELLIOT ROAD","PORT ELLIOT","SA",5212,"sebgoldsmith90@gmail.com",-35.53034,138.6757,"Cricket,Football (Soccer)","http://pecc.sa.cricket.com.au",2002-11-17
"1455","Stirling Tennis Club","26 STONEHENGE AVENUE","STIRLING","SA",5152,"info@stirlingtennisclub.com.au",-35.00933,138.71218,"Tennis","http://www.stirlingtennisclub.com.au",1983-06-03
"1456","Reynella - Braeview School of Calisthenics","LOT 21 MALBECK DRIVE","REYNELLA EAST","SA",5161,"edwardsv@adam.com.au",-35.09052,138.55616,"Calisthenics","http://www.reynella-braeview.org.au",2000-08-21
"1457","South Adelaide Panthers Soccer Club","LOT 52 GALLOWAY ROAD","O'SULLIVAN BEACH","SA",5166,"sapanthersaccounts@outlook.com",-35.12404,138.47577,"Football (Soccer)","http://WWW.sapanthersfc.com",1992-08-12
"1458","Adelaide Hills Soccer Club","LOT 66 HUTCHENS ROAD","WOODSIDE","SA",5244,"president@hillshawks.net",-34.9587,138.87321,"Football (Soccer)","http://www.hillshawks.net",1990-03-21
"1459","Orroroo Netball Club","40 EAST TERRACE","ORROROO","SA",5431,"thehomestead5@activ8.net.au",-32.73891,138.61375,"Netball","",1969-07-26
"1460","Mallala Netball Club Incorporated","LOT 513 WASLEYS ROAD","MALLALA","SA",5502,"mncsec@hotmail.com",-34.43797,138.51434,"Australian Rules,Cricket,Netball,Tennis","",1963-11-04
"1461","West Torrens District Cricket Club","LOT 17 ATKIN STREET","HENLEY BEACH","SA",5022,"treasurer@westerneagles.com",-34.9197,138.5002,"Cricket","http://www.westerneagles.com/",1971-11-05
"1462","Elizabeth Grove Soccer and Sport Club","LOT 52 DAUNTSEY ROAD","ELIZABETH","SA",5112,"rdawber@dux.com.au",-34.70907,138.67184,"Football (Soccer)","http://egsc.com.au",2001-01-05
"1463","Modbury Jets Soccer Club","24 ALEXANDER AVENUE","MODBURY NORTH","SA",5092,"juniors@modburysc.org.au",-34.82386,138.67175,"Football (Soccer)","http://www.modburysc.org.au",1969-02-13
"1464","Myponga Netball Club","LOT 8 STEPHENS ROAD","MYPONGA","SA",5202,"jackie.vallance@bigpond.com",-35.39429,138.46322,"Netball","",1986-02-07
"1465","Loxton Netball Club","LOT 100 BOOKPURNONG TERRACE","LOXTON","SA",5333,"loxtonnetballclub@gmail.com",-34.45812,140.55718,"Netball","",1986-01-17
"1466","Lutheran Tennis Club Murray Bridge","2 RECREATION AVENUE","MURRAY BRIDGE","SA",5253,"tclienert@gmail.com",-35.13259,139.24545,"Tennis","http://www.lmhcta.com.au/",1978-06-09
"1467","Southcoast MX Club","3761 OLD PRINCES HIGHWAY","ROCKY GULLY","SA",5254,"southcoastmxclub@gmail.com",-35.12259,139.17628,"Motor Sport","http://www.southcoastmx.com.au",1951-04-14
"1468","Contax Netball Club","155 RAILWAY TERRACE","KESWICK TERMINAL","SA",5035,"millerhill@bigpond.com",-34.93172,138.57809,"Netball","http://www.contax.net.au",2005-10-16
"1469","Aldinga Netball Club","LOT 2 PORT ROAD","ALDINGA","SA",5173,"aldinganc@gmail.com",-35.26838,138.48037,"Netball","",1963-10-07
"1470","Clovelly Calisthenics College","17 YORK AVENUE","CLOVELLY PARK","SA",5042,"nwilliams@brsresults.com",-34.9985,138.5739,"Calisthenics","http://sites.google.com/site/clovellycalisthenics/",1961-04-12
"1471","West Augusta Football Club","13-23 GARDINER AVENUE","PORT AUGUSTA WEST","SA",5700,"dpjackie1@gmail.com",-32.47875,137.76187,"Australian Rules,Cricket","http://www.westaugustafc.com.au",1984-04-06
"1472","Rostrevor Tennis Club","42 JENKINS AVENUE","ROSTREVOR","SA",5073,"rostrevortennisclubsecretary@gmail.com",-34.89578,138.68568,"Tennis","http://www.rostrevortennisclub.org/",1969-05-25
"1473","Hahndorf Football Club","98 ECHUNGA ROAD","HAHNDORF","SA",5245,"secretary@hahndorffc.com.au",-35.03774,138.80535,"Australian Rules","http://www.hahndorffc.com.au",2000-01-02
"1474","Hahndorf Football Club","24 BAKER STREET","LITTLEHAMPTON","SA",5250,"secretary@hahndorffc.com.au",-35.04971,138.86807,"Australian Rules","http://www.hahndorffc.com.au",1978-08-18
"1475","Gambier Centrals Soccer Club","110 BISHOP ROAD","WORROLONG","SA",5291,"nicky.jellesma@tppl.com.au",-37.8079,140.80565,"Football (Soccer),Tennis","http://www.gambiercentrals.bigpondhosting.com/",1957-07-02
"1476","Athelstone Football Club","175 GEORGE STREET","PARADISE","SA",5075,"pdalton@athelstonefc.org.au",-34.8678,138.69284,"Australian Rules","http://www.athelstonefc.org.au/",1958-11-07
"1477","West Gambier Netball Club","62 WHITE AVENUE","MOUNT GAMBIER","SA",5290,"jjo36364@bigpond.net.au",-37.82868,140.75047,"Netball","",2003-12-22
"1478","Para Hills Amateur Boxing Club","LOT 24 MAVES ROAD","PARA HILLS","SA",5096,"geoffcowell42@gmail.com",-34.81103,138.65267,"Boxing","",2000-12-26
"1479","Hackham Football Club","LOT 253 STATES ROAD","HACKHAM","SA",5163,"hackhamfootballandsocialclub@gmail.com",-35.13655,138.53643,"Australian Rules","http://www.hackhamhawks.com.au",1999-12-21
"1480","Westward Ho Golf Club","LOT 52 MILITARY ROAD","WEST BEACH","SA",5024,"admin@westwardho.org.au",-34.95349,138.50855,"Golf","http://www.westwardho.org.au",1996-04-23
"1481","Hope Ward Tennis Club","4 TWEED STREET","CUMBERLAND PARK","SA",5041,"hopewardtc@gmail.com",-34.9769,138.58489,"Tennis","http://www.hwtc.com.au",1992-01-26
"1482","Port Lincoln Gymnastics Club","50 CORONATION PLACE","PORT LINCOLN","SA",5606,"kristle@eyrelogistics.com.au",-34.74105,135.85696,"Gymnastics","",1954-08-20
"1483","North Haven Cricket Club","263 VICTORIA ROAD","LARGS NORTH","SA",5016,"ryan.egan@bigpond.com",-34.82169,138.49891,"Cricket","",1967-11-24
"1484","Sedan Cambrai Football Netball Club","18 SPORTSGROUND ROAD","CAMBRAI","SA",5353,"dstewart@mid-murray.sa.gov.au",-34.65747,139.28268,"Australian Rules,Netball","",1995-12-22
"1485","Long Plains Netball Club","Ridley Road","Long Plains","SA",NA,"longplainsnc@gmail.com",-34.37658,138.35373,"Netball","",2001-05-09
"1486","Parafield Gardens Soccer and Sports Club","LOT 464 BRADMAN ROAD","PARAFIELD GARDENS","SA",5107,"steve46@bigpond.net.au",-34.79371,138.61943,"Football (Soccer)","",1987-03-27
"1487","Adelaide Tritons Water Polo Club","LOT 1602 JEFFCOTT STREET","NORTH ADELAIDE","SA",5006,"adamsfamil@adam.com.au",-34.89992,138.59049,"Water Polo","http://www.tritonswaterpolo.com.au/",1993-12-15
"1488","Southern Districts Softball Club","LOT 68 FLAXMILL ROAD","CHRISTIE DOWNS","SA",5164,"southerndistrictssoftballclub@gmail.com",-35.12797,138.4908,"Baseball,Softball","",1985-07-03
"1489","Tango Netball Club","LOT 3 FRIENDSHIP CRESCENT","WYNN VALE","SA",5127,"treasurer@tangonetballclub.com.au",-34.79818,138.67751,"Netball","http://www.tangonetballclub.com",1954-12-25
"1490","Karadinga Sports and Recreation Centre","7 GLASGOW AVENUE","MODBURY","SA",5092,"karadinga@bigpond.com",-34.82941,138.68396,"Squash","",1996-03-23
"1491","Elizabeth Football Club","2 MCKENZIE ROAD","ELIZABETH DOWNS","SA",5113,"watspa@bigpond.com",-34.70078,138.6842,"Australian Rules,Netball","http://www.elizabetheagles.com.au",1960-07-16
"1492","Enfield Tennis Club","LOT 631 BRANSON AVENUE","CLEARVIEW","SA",5085,"Adam.Kauschke@gmail.com",-34.86509,138.61221,"Tennis","",2004-05-20
"1493","WAPID Swim School","LOT 27 ELIZABETH WAY","ELIZABETH","SA",5112,"vince.wapid@bigpond.com",-34.72225,138.66619,"Swimming","",1972-12-25
"1494","Largs North Calisthenic Club","146 SEMAPHORE ROAD","EXETER","SA",5019,"largsnorthcalisthenics@hotmail.com",-34.84044,138.48993,"Calisthenics","http://www.largsnorthcalisthenics.com",1998-03-24
"1495","Meningie Netball Club","LOT 336 WEST TERRACE","MENINGIE","SA",5264,"president.meningienc @gmail.com",-35.69216,139.33007,"Netball","",1975-12-16
"1496","Keith Swimming Club","Naracoorte Road","Keith","SA",NA,"keithswimmingclub@outlook.com",-36.14347,140.34259,"Swimming","",1968-11-17
"1497","Goodwood Saints Football Club","LOT 93 CHELMSFORD AVENUE","MILLSWOOD","SA",5034,"crgcarpets@gmail.com",-34.95588,138.58285,"Australian Rules","http://www.goodwoodsaints.com.au",1955-07-01
"1498","Sapphires Netball Club","LOT 96 MAVROS ROAD","ELIZABETH DOWNS","SA",5113,"shrubby1@bigpond.com",-34.70444,138.68364,"Netball","",1993-01-19
"1499","Roopena Football and Sporting Club Inc.","LOT 3593 FISK STREET","WHYALLA NORRIE","SA",5608,"damoskinner@hotmail.com",-33.01693,137.5333,"Australian Rules,Billiards,Cricket,Darts,Eight-Ball,Netball","",1953-05-21
"1500","Loxton Hockey Club","LOT 4 BOOKPURNONG ROAD","LOXTON","SA",5333,"pmvlh@activ8.net.au",-34.45778,140.55309,"Hockey","",1984-03-08
"1501","One Tree Hill Tennis Club","LOT 321 MCGILP ROAD","ONE TREE HILL","SA",5114,"mgevans@adam.com.au",-34.71355,138.76513,"Tennis","",1989-01-04
"1502","Seaton Girls Calisthenic Club","281 TAPLEYS HILL ROAD","SEATON","SA",5023,"seatoncalisthenics@hotmail.com",-34.89411,138.51441,"Calisthenics","http://www.seatoncalisthenics.com.au",1983-04-09
"1503","Waikerie Hockey Club","21 SMITH DRIVE","WAIKERIE","SA",5330,"waikeriehockeyclub@hotmail.com",-34.18915,139.98228,"Hockey","",2002-02-14
"1504","Langhorne Creek Netball Club","LOT 281 MURRAY ROAD","LANGHORNE CREEK","SA",5255,"klmlgladwin@internode.on.net",-35.29856,139.03048,"Netball","http://www.langhornecreeknetballclub.com.au",1973-10-28
"1505","North Adelaide Lacrosse Club","21 TERAMA STREET","GEPPS CROSS","SA",5094,"wendy.piltz@unisa.edu.au",-34.84512,138.60714,"Lacrosse","http://www.nalc.com.au",1961-05-22
"1506","McLaren Flat Netball Club","LOT 200 MAIN ROAD","MCLAREN FLAT","SA",5171,"slawrie5@bigpond.com.au",-35.20518,138.58616,"Netball","",1992-08-07
"1507","SAUCNA","LOT 6022 GOODWOOD ROAD","ADELAIDE","SA",5000,"mwa88953@bigpond.net.au",-34.93887,138.58729,"Netball","http://www.saucna.net/",1960-10-08
"1508","Clovercrest Swimming Club","442 MONTAGUE ROAD","MODBURY NORTH","SA",5092,"sharonrocca@internode.on.net",-34.82867,138.67433,"Swimming","",1969-09-24
"1509","Hectorville Sports and Community Club","UNIT 3 26 FISHER STREET","MAGILL","SA",5072,"sandymcc@heccies.org.au",-34.90149,138.66761,"Australian Rules,Cricket,Netball,Tennis","http://www.heccies.org.au",1973-11-16
"1510","Naracoorte Tennis Club","LOT 3 STEWART TERRACE","NARACOORTE","SA",5271,"windyhill23@bigpond.com",-36.94883,140.7271,"Tennis","",1992-05-07
"1511","Salisbury West Junior Football Club","LOT 68 LONDONDERRY AVENUE","SALISBURY DOWNS","SA",5108,"areallmine07@yahoo.com.au",-34.77154,138.62545,"Australian Rules","",1953-02-02
"1512","Marion Cricket Club","262 STURT ROAD","MARION","SA",5043,"steve.hooper@marion.sa.gov.au",-35.01702,138.55121,"Cricket","",1972-01-16
"1513","South Australian Judo Academy","TENANCY 6 10-26 VALE AVENUE","VALLEY VIEW","SA",5093,"gsmcc@iprimus.com.au",-34.84323,138.6548,"Judo","http://www.sajudoacademy.com.au",1976-05-16
"1514","Mount Barker United Netball Club","2 HOWARD LANE","MOUNT BARKER","SA",5251,"mtbarkerunitednetballclub@gmail.com",-35.07787,138.86233,"Netball","http://mtbarkerunitednetballclub.sa.netball.com.au",1984-12-06
